GEOID,median_home_value,median_home_value_owner,median_gross_rent_x,median_year_built,median_hh_income,monthly_owner_cost,median_gross_rent_y,avg_housing_cost,ht_cost_very_low_income,ht_cost_low_income,ht_cost_moderate_income,affordability_pctile_very_low,affordability_pctile_low,affordability_pctile_moderate,lmi_population,total_population,lmi_pct,hh_at_30pct_ami,hh_at_50pct_ami,hh_at_80pct_ami,cost_burdened_30pct_ami,cost_burdened_50pct_ami,cost_burdened_80pct_ami,affordable_units_30pct_ami,affordable_units_50pct_ami
48439113217,187700.0,186600.0,902.0,1982.0,54483.0,1224.0,956.0,1124.801332,50.75678395,107.0454239,59.27439384,54.88697743,7.167591565,20.87330744,1515.0,4590.0,33.01,75.0,320.0,805.0,45.0,240.0,410.0,0.0,4.0
48439113218,245300.0,259500.0,1419.0,2012.0,91875.0,1630.0,1537.0,1623.91411,54.78642596,111.3257136,62.69879658,31.09488753,1.431492843,9.808384458,250.0,2380.0,10.5,70.0,125.0,250.0,70.0,109.0,204.0,0.0,0.0
48439113220,,,,,40132.0,1144.0,914.0,958.2241379,47.18563544,105.0842515,56.98638198,76.66651674,7.435082459,27.76098201,2995.0,5180.0,57.82,,,,,,,,
48439113221,292200.0,270300.0,1404.0,2002.0,60455.0,1831.0,1315.0,1571.968458,49.44527281,104.2267155,57.80211608,50.08037909,2.482807641,15.91714793,775.0,4245.0,18.26,145.0,315.0,810.0,145.0,295.0,640.0,0.0,10.0
48439113222,326900.0,,847.0,1977.0,,,,,,,,,,,,,,80.0,555.0,1055.0,0.0,480.0,575.0,0.0,0.0
48439113223,185800.0,209100.0,1116.0,1986.0,,,,,,,,,,,,,,130.0,340.0,650.0,75.0,275.0,500.0,25.0,40.0
48439113301,178500.0,181400.0,1006.0,1975.0,65141.0,1295.0,1040.0,1222.254601,51.48140737,107.2986377,59.86116136,44.54887526,5.543558282,22.19889571,1050.0,3945.0,26.62,60.0,160.0,350.0,55.0,130.0,180.0,10.0,20.0
48439113302,119100.0,121200.0,765.0,1965.0,36573.0,1156.0,807.0,985.9580292,48.55088337,103.2440077,57.0425202,78.61066504,8.055961071,37.01618005,1920.0,3745.0,51.27,165.0,465.0,885.0,150.0,365.0,429.0,0.0,130.0
48439113403,171200.0,166500.0,1260.0,1967.0,56741.0,1346.0,1059.0,1259.125874,50.89903585,100.2123687,57.26452767,52.47605728,1.474525475,16.60749251,790.0,2540.0,31.1,10.0,110.0,325.0,10.0,10.0,45.0,0.0,10.0
48439113404,174700.0,145700.0,921.0,1972.0,58047.0,1308.0,869.0,1156.722973,50.16960466,103.6581061,58.12093218,53.6821021,8.169369369,28.56608108,1580.0,5005.0,31.57,215.0,575.0,1075.0,215.0,445.0,580.0,0.0,200.0
48439113405,,,,,48711.0,1432.0,843.0,1095.094804,49.41912179,104.0371834,57.79810566,59.91638239,8.239270131,30.35660452,2705.0,5835.0,46.36,,,,,,,,
48439113407,152500.0,178900.0,947.0,1966.0,43381.0,1282.0,760.0,979.9100384,49.25764258,107.0453286,58.57334488,68.04648016,7.417224355,39.35101481,3775.0,5935.0,63.61,210.0,550.0,1005.0,210.0,485.0,515.0,0.0,350.0
48439113408,160600.0,161200.0,989.0,1964.0,46613.0,1144.0,1096.0,1128.92322,50.5647385,106.4074457,59.00656283,63.43741275,1.846440205,22.36779898,2615.0,5055.0,51.73,225.0,505.0,990.0,200.0,390.0,570.0,0.0,110.0
48439113409,198100.0,213800.0,938.0,2002.0,,,,,,,,,,,,,,80.0,185.0,255.0,65.0,115.0,150.0,0.0,10.0
48439113410,167000.0,205600.0,947.0,1985.0,,,,,,,,,,,,,,155.0,430.0,1210.0,145.0,400.0,745.0,10.0,145.0
48439113509,133300.0,142000.0,957.0,1970.0,49706.0,939.0,1021.0,970.178273,50.14214158,105.3998431,58.60658496,62.8404364,10.06016713,23.35577994,2700.0,4405.0,61.29,235.0,310.0,855.0,210.0,255.0,430.0,0.0,0.0
48439113510,258500.0,300900.0,978.0,1989.0,48132.0,1461.0,961.0,1198.043581,47.9746411,102.4297189,56.49890518,61.82610915,3.405418139,20.21702002,1560.0,4115.0,37.91,450.0,740.0,1145.0,450.0,685.0,900.0,0.0,65.0
48439113511,209000.0,207700.0,911.0,1966.0,56719.0,1456.0,938.0,1241.30995,50.54828498,106.336863,58.96050575,52.53089955,0.645955619,18.12748747,995.0,3755.0,26.5,85.0,400.0,660.0,85.0,330.0,380.0,0.0,95.0
48439113512,184900.0,185500.0,1179.0,1986.0,52760.0,1373.0,1149.0,1274.711515,49.43118815,100.77084,56.76645865,54.42658586,4.410181818,20.31705051,1740.0,5110.0,34.05,230.0,455.0,1065.0,155.0,385.0,730.0,15.0,15.0
48439113513,193800.0,186500.0,909.0,1985.0,55915.0,1432.0,840.0,1202.906821,49.68415994,105.0020733,58.258025,55.20115916,3.302719572,24.25430227,1845.0,5300.0,34.81,115.0,360.0,910.0,95.0,340.0,570.0,0.0,40.0
48439113514,168600.0,197800.0,806.0,1970.0,36786.0,1171.0,714.0,883.3960739,48.09139947,102.0139727,56.44599697,71.77752117,12.80046189,41.07124711,3430.0,5210.0,65.83,185.0,485.0,870.0,160.0,405.0,550.0,15.0,205.0
48439113516,230400.0,257100.0,1160.0,1982.0,74161.0,1631.0,1037.0,1439.604154,51.36904525,108.9219037,60.23596922,38.7466331,4.469225928,17.35947137,1120.0,4410.0,25.4,125.0,280.0,405.0,114.0,214.0,273.0,0.0,29.0
48439113517,274600.0,267600.0,1094.0,1984.0,65091.0,1521.0,976.0,1214.889943,48.98626008,106.1891394,58.2603244,45.92430951,2.07311828,17.65698925,1250.0,3610.0,34.63,70.0,185.0,545.0,55.0,160.0,300.0,0.0,15.0
48439113518,,,,,51958.0,1705.0,1071.0,1086.0152,46.25439796,103.5355573,55.89136887,59.2971368,7.66970661,28.65952633,2075.0,4825.0,43.01,,,,,,,,
